"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "PostCSS", "Markdown", "XML", "Python", "comment", "blank", "total"
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\small-group-carousel-card\small-group-carousel-card.component.css", "PostCSS", 0, 0, 0, 0, 39, 0, 0, 0, 1, 7, 47
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\small-group-carousel-card\small-group-carousel-card.component.html", "HTML", 0, 0, 0, 7, 0, 0, 0, 0, 1, 2, 10
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\components\small-group-carousel-card\small-group-carousel-card.component.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\overview.component.css", "PostCSS", 0, 0, 0, 0, 158, 0, 0, 0, 3, 31, 192
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\overview.component.html", "HTML", 0, 0, 0, 150, 0, 0, 0, 0, 14, 5, 169
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\overview\overview.component.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 60, 32, 204
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\pins\pins.component.css", "PostCSS", 0, 0, 0, 0, 67, 0, 0, 0, 3, 16, 86
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\pins\pins.component.html", "HTML", 0, 0, 0, 49, 0, 0, 0, 0, 1, 2, 52
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\pages\pins\pins.component.ts", "TypeScript", 0, 0, 110, 0, 0, 0, 0, 0, 46, 22, 178
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\profile-shell.component.css", "PostCSS", 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\profile-shell.component.html", "HTML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 2, 14
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\profile-shell.component.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 32, 9, 89
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\profile\services\profile-context.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 4, 12, 48
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\settings\components\general\components\change-birthdate-modal\change-birthdate-modal.component.css", "PostCSS", 0, 0, 0, 0, 59, 0, 0, 0, 2, 12, 73
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\settings\components\general\components\change-birthdate-modal\change-birthdate-modal.component.html", "HTML", 0, 0, 0, 41, 0, 0, 0, 0, 1, 6, 48
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\settings\components\general\components\change-birthdate-modal\change-birthdate-modal.component.ts", "TypeScript", 0, 0, 79, 0, 0, 0, 0, 0, 1, 13, 93
"c:\Users\gonca\Desktop\Gofish-Web\angular\src\app\features\user\settings\components\general\components\change-displayname-modal\change-displayname-modal.component.css", "PostCSS", 0, 0, 0, 0, 29, 0, 0, 0, 1, 5, 35
